mistranslate, mis-trans-late 
buttons, but-ton-s 
aa, aa 
aah, aah 
aahed, aa-hed 
aahing, aahing 
aahs, aah-s 
aal, aal 
aalii, aali-i 
aaliis, aali-is 
aals, aal-s 
aardvark, aard-vark 
aardvarks, aard-vark-s 
aardwolf, aard-wolf 
aardwolves, aard-wolves 
aargh, aargh 
aarrgh, aar-rgh 
aarrghh, aar-rgh-h 
aas, aas 
aasvogel, aasvo-gel 
aasvogels, aasvo-gel-s 
ab, ab 
aba, a-ba 
abaca, aba-ca 
abacas, aba-cas 
abaci, abaci 
aback, aback- 
abacterial, abac-te-ri-al 
abacus, aba-cus 
abacuses, aba-cus-es 
abaft, abaft 
abaka, aba-ka 
abakas, abakas 
abalone, a-balone 
abalones, a-balones 
abamp, abam-p 
abampere, abam-pere 
abamperes, abam-peres 
abamps, abamp-s 
abandon, a-ban-don 
abandoned, a-ban-doned 
abandoner, a-ban-don-er 
abandoners, a-ban-don-er-s 
abandoning, a-ban-don-ing 
abandonment, a-ban-don-men-t 
abandonments, a-ban-don-ments 
abandons, a-ban-don-s 
abapical, abapi-cal 
abas, abas 
abase, abase 
abased, abased 
abasedly, abas-ed-ly 
abasement, abase-men-t 
abasements, abase-ments 
abaser, abas-er 
abasers, abaser-s 
abases, abas-es 
abash, abash 
abashed, abashed 
abashes, abash-es 
abashing, abash-ing 
abashment, abash-men-t 
abashments, abash-ments 
abasia, aba-si-a 
abasias, abasias 
abasing, abas-ing 
abatable, a-bat-able 
abate, a-bate 
abated, a-bat-ed 
abatement, a-bate-men-t 
abatements, a-bate-ments 
abater, a-bater 
abaters, a-bater-s 
abates, a-bates 
abating, a-bat-ing 
abatis, a-batis 
abatises, a-ba-tis-es 
abator, a-ba-tor 
abators, a-ba-tors 
abattis, a-bat-tis 
abattises, a-bat-tis-es 
abattoir, a-bat-toir 
abattoirs, a-bat-toirs 
abaxial, abax-i-al 
abaxile, abax-ile 
abba, ab-ba 
abbacies, ab-ba-cies 
abbacy, ab-ba-cy 
abbas, ab-bas 
abbatial, ab-ba-tial 
abbe, abbe 
abbes, abbes 
abbess, abbess 
abbesses, abbess-es 
abbey, abbey 
abbeys, abbeys 
abbot, ab-bot 
abbotcies, ab-bot-cies 
abbotcy, ab-bot-cy 
abbots, ab-bot-s 
abbreviate, ab-bre-vi-ate 
abbreviated, ab-bre-vi-at-ed 
abbreviates, ab-bre-vi-ates 
abbreviating, ab-bre-vi-at-ing 
abbreviation, ab-bre-vi-a-tion 
abbreviations, ab-bre-vi-a-tion-s 
abbreviator, ab-bre-vi-a-tor 
abbreviators, ab-bre-vi-a-tors 
abdicable, ab-di-ca-ble 
abdicate, ab-di-cate 
abdicated, ab-di-cat-ed 
abdicates, ab-di-cates 
abdicating, ab-di-cat-ing 
abdication, ab-di-ca-tion 
abdications, ab-di-ca-tion-s 
abdicator, ab-di-ca-tor 
abdicators, ab-di-ca-tors 
abdomen, ab-domen 
abdomens, ab-domen-s 
abdomina, ab-dom-i-na 
abdominal, ab-dom-i-nal 
abdominally, ab-dom-i-nal-ly 
abduce, ab-duce 
abduced, ab-duced 
abducens, ab-ducen-s 
abducent, ab-du-cen-t 
abducentes, ab-du-centes 
abduces, ab-duces 
abducing, ab-duc-ing 
abduct, abduc-t 
abducted, ab-duct-ed 
abducting, ab-duct-ing 
abduction, ab-duc-tion 
abductions, ab-duc-tion-s 
abductor, ab-duc-tor 
abductores, ab-duc-tores 
abductors, ab-duc-tors 
abducts, abduct-s 
abeam, abeam 
abecedarian, abecedar-i-an 
abecedarians, abecedar-i-an-s 
abed, abed 
abele, a-bele 
abeles, a-beles 
abelia, a-beli-a 
abelian, a-belian 
abelias, a-belias 
abelmosk, a-bel-mosk 
abelmosks, a-bel-mosks 
aberrance, aber-rance 
aberrances, aber-rances 
aberrancies, aber-ran-cies 
aberrancy, aber-ran-cy 
aberrant, aber-ran-t 
aberrantly, aber-rant-ly 
aberrants, aber-rants 
aberrated, aber-rat-ed 
aberration, aber-ra-tion 
aberrational, aber-ra-tional 
aberrations, aber-ra-tions 
abet, a-bet 
abetment, a-bet-men-t 
abetments, a-bet-ments 
abets, a-bet-s 
abettal, a-bet-tal 
abettals, a-bet-tal-s 
abetted, a-bet-ted 
abetter, a-bet-ter 
abetters, a-bet-ter-s 
abetting, a-bet-ting 
abettor, a-bet-tor 
abettors, a-bet-tors 
abeyance, abeyance 
abeyances, abeyances 
abeyancies, abeyan-cies 
abeyancy, abeyan-cy 
abeyant, abeyan-t 
abfarad, ab-farad 
abfarads, ab-farad-s 
abhenries, ab-hen-ries 
abhenry, ab-hen-ry 
abhenrys, ab-hen-rys 
abhor, ab-hor 
abhorred, ab-horred 
abhorrence, ab-hor-rence 
abhorrences, ab-hor-rences 
abhorrent, ab-hor-ren-t 
abhorrently, ab-hor-rent-ly 
abhorrer, ab-hor-rer 
abhorrers, ab-hor-rers 
abhorring, ab-hor-ring 
abhors, ab-hors 
abidance, abid-ance 
abidances, abid-ances 
abide, abide 
abided, abid-ed 
abider, abider 
abiders, abider-s 
abides, abides 
abiding, abid-ing 
abidingly, abid-ing-ly 
abigail, abi-gail 
abigails, abi-gail-s 
abilities, a-bil-i-ties 
ability, a-bil-i-ty 
abiogeneses, abio-gene-ses 
abiogenesis, abio-gen-e-sis 
abiogenic, abio-genic 
abiogenically, abio-geni-cal-ly 
abiogenist, abio-genist 
abiogenists, abio-genist-s 
abiological, abi-o-log-i-cal 
abioses, abios-es 
abiosis, abio-sis 
abiotic, abi-ot-ic 
abiotically, abi-ot-i-cal-ly 
abject, ab-jec-t 
abjection, ab-jec-tion 
abjections, ab-jec-tion-s 
abjectly, ab-ject-ly 
abjectness, ab-ject-ness 
abjectnesses, ab-ject-ness-es 
abjuration, ab-ju-ra-tion 
abjurations, ab-ju-ra-tions 
abjure, ab-jure 
abjured, ab-jured 
abjurer, ab-jur-er 
abjurers, ab-jur-ers 
abjures, ab-jures 
abjuring, ab-jur-ing 
ablate, ab-late 
ablated, ab-lat-ed 
ablates, ab-lates 
ablating, ab-lat-ing 
ablation, ab-la-tion 
ablations, ab-la-tion-s 
ablative, ab-la-tive 
ablatively, ab-la-tive-ly 
ablatives, ab-la-tives 
ablaut, ablaut 
ablauts, ablaut-s 
ablaze, ablaze 
able, able 
ablegate, able-gate 
ablegates, able-gates 
abler, abler 
ables, ables 
ablest, ablest 
ablings, ablings 
ablins, ablin-s 
abloom, abloom 
abluent, ablu-en-t 
abluents, ablu-ents 
ablush, ablush 
abluted, ablut-ed 
ablution, ablu-tion 
ablutionary, ablu-tion-ary 
ablutions, ablu-tion-s 
ably, ably 
abmho, abmho 
abmhos, abmhos 
abnegate, ab-ne-gate 
abnegated, ab-ne-gat-ed 
abnegates, ab-ne-gates 
abnegating, ab-ne-gat-ing 
abnegation, ab-ne-ga-tion 
abnegations, ab-ne-ga-tion-s 
abnegator, ab-ne-ga-tor 
abnegators, ab-ne-ga-tors 
abnormal, ab-nor-mal 
abnormalities, ab-nor-mal-i-ties 
abnormality, ab-nor-mal-i-ty 
abnormally, ab-nor-mal-ly 
abnormals, ab-nor-mal-s 
abo, abo 
aboard, aboard- 
abode, a-bode 
aboded, a-bod-ed 
abodes, a-bodes 
aboding, a-bod-ing 
abohm, abohm 
abohms, abohm-s 
aboideau, aboideau 
aboideaus, aboideaus 
aboideaux, aboideaux 
aboil, aboil 
aboiteau, aboiteau 
aboiteaus, aboiteaus 
aboiteaux, aboiteaux 
abolish, abol-ish 
abolishable, abol-ish-able 
abolished, abol-ished 
abolisher, abol-ish-er 
abolishers, abol-ish-er-s 
abolishes, abol-ish-es 
abolishing, abol-ish-ing 
abolishment, abol-ish-men-t 
abolishments, abol-ish-ments 
abolition, abo-li-tion 
abolitionary, abo-li-tionary 
